year,state,headcount_ratio,rural_headcount,urban_headcount
2015,maharashtra,0.0912223830992014,0.054376595785538,0.135190064402774
2015,odisha,0.482306907574552,0.480573060257083,0.491413709679891
2015,puducherry,0.150705099922449,0.0235195849006655,0.212019940455292
2015,punjab,0.0548935099047139,0.0376090098280196,0.0834808464547962
2015,rajasthan,0.260075159169628,0.223519377931007,0.374136673617442
2015,tamil_nadu,0.252376439103283,0.20573545461292,0.299467998851855
2015,telangana,0.0865592864490727,0.0540219137782625,0.138700883809996
2015,uttar_pradesh,0.122219794536154,0.100062484136422,0.197745036909897
2015,uttarakhand,0.0364947481689634,0.042728726177844,0.0218728962719884
2015,west_bengal,0.270822665621256,0.22958535186642,0.35719506997671
2016,andhra_pradesh,0.0577235226413174,0.0391695092539373,0.0998782905762419
2016,assam,0.11631921193508,0.124406594505193,0.0693936304893369
2016,bihar,0.25483638932612,0.236130421491506,0.401488845114827
2016,chandigarh,0.140997500996809,,0.140997500996809
2016,chhattisgarh,0.308899920180749,0.242473760361491,0.5327896032002
2016,delhi,0.167198988876362,0.00302423535894583,0.172166126945024
2016,goa,0.0242399152394508,0.0705854544048708,0.000805309104215757
2016,gujarat,0.128539218828648,0.0779540578798933,0.193557257354541
2016,haryana,0.0351428820770793,0.0192928315797392,0.0618090453605171
2016,himachal_pradesh,0.0101826465260824,0.00834193046750267,0.0264962037222128
2016,jammu_&_kashmir,0.0210681029596017,0.0265202875411866,0.00499679792246353
2016,jharkhand,0.307157025663242,0.281430925600862,0.382661188198388
2016,karnataka,0.265449751365118,0.27594530485979,0.250949427483055
2016,kerala,0.0368584676371009,0.00356269878838099,0.0615611772537515
2016,madhya_pradesh,0.30120737558788,0.263943143704296,0.40534913140397
2016,maharashtra,0.0941316096749803,0.072266158567957,0.119188624933598
2016,odisha,0.39650695592644,0.39683414046671,0.394785482912834
2016,puducherry,0.024876185216884,0.0515728776819443,0.0120508835145607
2016,punjab,0.0168009696107884,0.00042579409577917,0.0423056916773156
2016,rajasthan,0.144340456603882,0.103845659877476,0.264460197176031
2016,tamil_nadu,0.15751161034396,0.111812153478216,0.203546150975685
2016,telangana,0.154402034237403,0.143476806891965,0.170110317141324
2016,uttar_pradesh,0.194011196704001,0.163033957121318,0.292645901891893
2016,uttarakhand,0.00763503963742988,0.00563197865958653,0.0122636902179698
2016,west_bengal,0.188200954016846,0.138140578002562,0.292982260772089
2017,andhra_pradesh,0.0807359234592592,0.0626034479456055,0.123149295956762
2017,assam,0.0358381875560264,0.0198723123955803,0.122053225405137
2017,bihar,0.296959048741326,0.284876513187873,0.392456095375817
2017,chandigarh,0.00931771544807354,,0.00931771544807354
2017,chhattisgarh,0.469225845751323,0.444925317284972,0.547534225452834
2017,delhi,0.0780320356757396,0.00217131943837232,0.0802820257649547
2017,goa,0.000118376601688449,0.000414122003388209,0
2017,gujarat,0.106252416807047,0.0802044981449235,0.140424717913921
2017,haryana,0.0160334200554012,0.0127803338990813,0.021276177839789
2017,himachal_pradesh,0.0118255464383966,0.0107167289415298,0.0216419108665583
2017,jammu_&_kashmir,0.113096462360557,0.116874100438486,0.10189929482307
2017,jharkhand,0.279591754832867,0.266668021779969,0.316249017118455
2017,karnataka,0.155429500946659,0.172132810721519,0.13411553969968
2017,kerala,0.0343333958886156,0.0146053859361572,0.0478291029452372
2017,madhya_pradesh,0.327187454116084,0.311282016080538,0.374944793101539
2017,maharashtra,0.099982144569257,0.0762256932092554,0.128209454695024
2017,odisha,0.416499424787838,0.416614063977557,0.415904454439895
2017,puducherry,0.191810146886064,0.0852071034704738,0.245064593944249
2017,punjab,0.00175519226452656,0,0.00441473273581742
2017,rajasthan,0.147722122745903,0.116535974421081,0.242934193569619
