"","year","state","population","urban","sex_ratio"
"190",2016,"gujarat",65158000,45.21,1136.42297650131
"191",2016,"maharashtra",118727000,46.61,1107.38357259815
"192",2016,"andhra_pradesh",51371000,32.33,1013.21212121212
"193",2016,"karnataka",64229000,41.06,1038.41397433916
"194",2016,"kerala",34578000,59.58,916.64340868918
"195",2016,"tamil_nadu",74635000,50.59,1000
"196",2016,"chandigarh",1136000,98.83,1214.99013806706
"197",2016,"uttarakhand",10755000,32.6,1131.30699088146
"198",2016,"sikkim",644000,34.79,1093.45794392523
"199",2016,"arunachal_pradesh",1459000,24.05,1127.27272727273
"200",2016,"nagaland",2086000,35.8,1104.22535211268
"201",2016,"manipur",3012000,30.55,974.248927038627
"202",2016,"mizoram",1157000,53.32,1003.24675324675
"203",2016,"tripura",3874000,31.49,1026.5780730897
"204",2016,"meghalaya",3129000,20.33,1000
"205",2016,"daman_&_diu",329000,87.17,1928.57142857143
"206",2016,"dadra_&_nagar_haveli",452000,58.37,1467.28971962617
"207",2016,"goa",1512000,68.06,1045.72564612326
"208",2016,"lakshadweep",67000,90.22,1068.96551724138
"209",2016,"puducherry",1402000,69.19,959.59595959596
"210",2016,"andaman_&_nicobar_islands",392000,NA,1135.13513513513
"211",2017,"india",1304457000,33.18,1076.42520606834
"212",2017,"himachal_pradesh",7206000,10.17,1175.07418397626
"213",2017,"punjab",29380000,39.65,1142.7257678867
"214",2017,"haryana",27861000,38.54,1145.68345323741
"215",2017,"nct_of_delhi",19056000,98.78,1152.0521321596
"216",2017,"rajasthan",75248000,25.75,1094.00324149109
"217",2017,"uttar_pradesh",219051000,23.16,1118.55842311868
"218",2017,"bihar",115957000,11.8,1117.33746130031
"219",2017,"assam",33543000,14.83,1057.48552522746
"220",2017,"west_bengal",95688000,34.31,1059.27738050433
"221",2017,"jharkhand",36334000,25.13,1099.08045977011
"222",2017,"odisha",43309000,17.76,1073.02613850714
"223",2017,"chhattisgarh",27956000,25.2,1045.8902120244
"224",2017,"madhya_pradesh",79948000,28.33,1089.39939108774
"225",2017,"gujarat",66084000,45.72,1136.32185533479
"226",2017,"maharashtra",119869000,46.89,1107.424071991
"227",2017,"andhra_pradesh",51655000,32.91,1013.14387211368
"228",2017,"karnataka",64752000,41.54,1038.4236453202
"229",2017,"kerala",34761000,61.92,916.651825467498
"230",2017,"tamil_nadu",74989000,51.03,1000
"231",2017,"chandigarh",1151000,99.09,1217.89883268482
"232",2017,"uttarakhand",10884000,33.08,1131.43872113677
"233",2017,"sikkim",650000,36.74,1096.49122807018
"234",2017,"arunachal_pradesh",1474000,24.29,1118.34319526627
"235",2017,"nagaland",2108000,37.2,1101.87667560322
"236",2017,"manipur",3042000,30.83,974.736842105263
"237",2017,"mizoram",1169000,53.56,1000
"238",2017,"tripura",3914000,32.58,1027.02702702703
"239",2017,"meghalaya",3161000,20.38,1000
"240",2017,"daman_&_diu",357000,89.02,2028.57142857143
"241",2017,"dadra_&_nagar_haveli",483000,60.4,1474.57627118644
"242",2017,"goa",1521000,69.15,1046.69260700389
"243",2017,"lakshadweep",67000,91.26,1033.33333333333
"244",2017,"puducherry",1436000,69.3,958.661417322835
"245",2017,"andaman_&_nicobar_islands",394000,NA,1146.66666666667
"246",2018,"india",1318678000,33.51,1076.42575904226
"247",2018,"himachal_pradesh",7253000,10.19,1173.52941176471
"248",2018,"punjab",29619000,40.01,1142.83131440969
"249",2018,"haryana",28266000,39.14,1145.65554693561
"250",2018,"nct_of_delhi",19435000,98.94,1152.09848908786
"251",2018,"rajasthan",76256000,25.9,1094.15756547556
"252",2018,"uttar_pradesh",222015000,23.31,1118.57675142284
"253",2018,"bihar",117739000,11.88,1117.33535200606
"254",2018,"assam",33918000,14.95,1056.77210056772
"255",2018,"west_bengal",96297000,34.72,1059.38154490575
"256",2018,"jharkhand",36869000,25.31,1098.98762654668
"257",2018,"odisha",43490000,17.95,1073.0411686587
"258",2018,"chhattisgarh",28340000,25.52,1045.82743988685
"259",2018,"madhya_pradesh",81090000,28.44,1089.23718064867
"260",2018,"gujarat",67010000,46.23,1136.41379310345
"261",2018,"maharashtra",121011000,47.16,1107.41451886862
"262",2018,"andhra_pradesh",51938000,33.5,1013.07567692664
"263",2018,"karnataka",65275000,42.02,1038.35005574136
"264",2018,"kerala",34943000,64.24,916.581284153005
"265",2018,"tamil_nadu",75342000,51.47,1000
"266",2018,"chandigarh",1165000,99.24,1214.55938697318
"267",2018,"uttarakhand",11013000,33.54,1131.56376226197
"268",2018,"sikkim",657000,38.81,1090.16393442623
"269",2018,"arunachal_pradesh",1489000,24.52,1122.09302325581
"270",2018,"nagaland",2129000,38.66,1099.48979591837
"271",2018,"manipur",3073000,31.08,973.140495867769
"272",2018,"mizoram",1181000,53.79,1003.15457413249
"273",2018,"tripura",3953000,33.67,1028.96341463415
"274",2018,"meghalaya",3192000,20.42,1000
"275",2018,"daman_&_diu",385000,90.34,2107.14285714286
"276",2018,"dadra_&_nagar_haveli",515000,62.18,1461.53846153846
"277",2018,"goa",1531000,70.3,1045.62737642586
"278",2018,"lakshadweep",67000,93.78,1032.25806451613
