Company Name|Year|Total income|Change in stock|Total expenses|Total liabilities|Total assets|No. of employees|Sales
K Sera Sera Box Office Pvt. Ltd.|31-03-2021|10.60|-1.70|36.40|247.60|247.60||9.40
K Sera Sera Digital Cinema Ltd.|31-03-2022|20.60||83.20|363.70|363.70||16.90
K Sera Sera Miniplex Ltd.|31-03-2022|27.50||37.80|245.10|245.10||26.80
K T B F Nidhi Ltd.|31-03-2012|22.10||18.90|157.40|157.40||
K T C Foods Pvt. Ltd.|31-03-2022|68.00||150.20|528.90|528.90||68.00
K T C Hotels Ltd.|31-03-2023|4.00||9.60|59.00|59.00||3.10
K T C Limited|31-03-2022||||102.90|102.90||
K T C Pvt. Ltd.|31-03-2004|5102.10|1.30|4999.60|871.20|871.20||5078.40
K T Exports (India) Pvt. Ltd.|31-03-2022|1078.50|1.70|1014.10|724.00|724.00||1051.00
K T F Fashion Pvt. Ltd.|31-03-2022|964.50|10.30|929.00|504.80|504.80||963.30
K T I Manufacturing Ltd.|31-03-2006|1.20||0.20|1.30|1.30||
K T Kubal & Co. Pvt. Ltd.|31-03-2021|44.00|0.40|43.60|34.30|34.30||42.70
K T L Automobile Pvt. Ltd.|31-03-2022|7005.70||6934.70|1644.10|1644.10||6939.90
K T L Industrial Finance Co. Ltd.|31-03-2008|3.60||3.90|521.00|521.00||
K T M Jewellery Ltd.|31-03-2022|6164.70|779.20|6853.70|3569.20|3569.20||6149.30
K T S T Engineers Pvt. Ltd.|31-03-2022|20.60||20.40|35.10|35.10||20.60
K T V Health Food Pvt. Ltd.|31-03-2022|39201.90|742.20|39452.90|12113.50|12113.50||38720.70
K Tech (India) Ltd.|31-03-2011|57.00|3.40|59.50|69.30|69.30||57.00
K V A Pharma Pvt. Ltd.|31-03-2011|0.80||0.70|0.70|0.70||
K V Aromatics Pvt. Ltd.|31-03-2017|4125.60|22.60|4012.60|2892.50|2892.50||3982.90
K V Developers Pvt. Ltd.|31-03-2019|18.80|88.60|128.70|2292.20|2292.20||9.70
K V Foundations India Ltd.|31-03-2021|43.50||11.60|244.60|244.60||
K V J Builders & Developers Pvt. Ltd.|31-03-2021|87.90|73.30|159.70|278.90|278.90||87.30
K V K Multifacet Projects Ltd.|31-03-2012||||15.10|15.10||
K V L Finance Ltd.|31-03-2006|0.30||0.30|3.10|3.10||
K V M Energy Pvt. Ltd.|31-03-2021|35.20||2.50|320.40|320.40||
K V Multi Healthplex Pvt. Ltd.|31-03-2006||||31.60|31.60||
K V R Industries Pvt. Ltd.|31-03-2018|746.90|2.70|838.60|500.80|500.80||730.10
K V R Steels Orissa Ltd.|31-03-2011|97.20|19.70|116.20|97.80|97.80||96.80
K W H Pipe (India) Ltd.|31-12-2004|9.00||82.70|2.70|2.70||
K W Homes Pvt. Ltd.|31-03-2022|788.90||786.00|2149.00|2149.00||784.40
K Watch Pvt. Ltd.|31-03-2011|8.20||10.40|11.40|11.40||8.10
K World Estate Pvt. Ltd.|31-03-2022|24.30||24.40|232.90|232.90||19.80
K Y Agrotech Pvt. Ltd.|31-03-2023|200.00|9.30|186.60|241.60|241.60||191.50
K Z Cotspin India Ltd.|31-03-2011|261.00|-16.10|244.80|127.40|127.40||259.40
K Z Leasing & Finance Ltd.|31-03-2023|19.60||16.70|246.20|246.20||
K-Bit Brave Sourcing Pvt. Ltd.|31-03-2022|44.50||40.90|61.20|61.20||44.50
K-Flex India Pvt. Ltd.|31-03-2022|1138.40|-14.10|1149.20|1940.00|1940.00||1075.60
K-Int'L Textiles Pvt. Ltd.|30-06-2006|2.70|-0.50|3.20|5.30|5.30||2.70
K-Lifestyle & Industries Ltd.|31-03-2020|27.20|3.00|597.70|1948.80|1948.80||27.10
K-Link Healthcare (India) Pvt. Ltd.|31-03-2022|124.30|1.50|135.00|288.50|288.50||122.20
K2 Technosoft India Pvt. Ltd.|31-03-2022|134.10||120.80|85.20|85.20||132.80
K7 Computing Pvt. Ltd.|31-03-2022|1111.40|1.90|1082.30|824.50|824.50||1105.50
Kaadambary Ricetech Pvt. Ltd.|31-03-2015||||72.50|72.50||
Kaar Lea-Finvest Ltd.|31-03-2012|0.40||0.40|77.20|77.20||
Kaar Technologies India Pvt. Ltd.|31-03-2021|1512.70||1343.70|1892.10|1892.10||1473.40
Kaarya Facilities & Services Ltd.|31-03-2023|264.20||342.10|170.00|170.00||261.90
Kaashyap Foundations Ltd.|31-12-1999|0.10|51.30|60.60|334.70|334.70||
Kaashyap Interserve Technologies Ltd.|31-03-2008||||126.30|126.30||
Kaashyap Technologies Ltd.|31-03-2011|190.30||251.70|1478.50|1478.50||188.80
Kaba Security Systems Pvt. Ltd.|31-03-2021|0.60||30.80|1935.20|1935.20||
Kabeer Projects Ltd.|31-03-2012|0.40||0.20|13.20|13.20||
Kabirdas Investments Ltd.|31-03-2023|2.30||8.00|144.70|144.70||
Kabra Agro Inds. Ltd.|31-03-1999|107.00|10.40|135.30|57.20|57.20||106.50
Kabra Commercial Ltd.|31-03-2023|138.20||124.90|287.00|287.00|5|117.10
Kabra Drugs Ltd.|31-03-2023|0.10||3.50|8.20|8.20||
Kabra Extrusion Technik Ltd.|31-03-2023|6733.40|58.30|6410.90|6376.80|6376.80|688|6700.10
Kabra Marble Udyog Ltd.|31-03-2022|11.40|0.60|12.00|19.30|19.30||10.40
Kabra Plastics Ltd.|31-03-2015|1134.30|57.40|1162.20|1661.40|1661.40||1051.60
Kabra Steel Products Ltd.|31-03-2022|1.30||1.20|10.60|10.60||0.60
Kabra Winder Pvt. Ltd.|31-03-2004|18.00|-1.70|17.00|22.10|22.10||17.60
Kabsons Gas Equipment Pvt. Ltd.|31-03-2022|448.30|29.50|471.30|658.60|658.60||414.00
Kabsons Industries Ltd.|31-03-2022|120.40|1.10|105.50|127.10|127.10|21|113.50
Kachchh Minerals Ltd.|31-03-2023|6.20|-0.40|6.70|19.50|19.50|6|6.10
Kachins Clothing Pvt. Ltd.|31-03-2008|55.70|-0.10|54.40|22.00|22.00||55.50
Kachins Textiles Ltd.|31-03-2022|8.10|0.60|9.90|2.80|2.80||8.10
Kadakia Alkalies & Chemicals Pvt. Ltd.|31-03-2022|||0.20|0.10|0.10||
Kadakia Papers Pvt. Ltd.|31-03-2017|93.40|-5.00|88.30|94.10|94.10||92.90
Kadam Advertising & Mktg. Pvt. Ltd.|31-03-2022|22.10||13.20|49.10|49.10||13.80
Kadam Developers Pvt. Ltd.|31-03-2022|||0.10|1503.50|1503.50||
Kadam Digital Transprints Pvt. Ltd.|31-03-2022|40.80||40.70|36.80|36.80||40.50
Kadamba Transport Corpn. Ltd.|31-03-2022|1958.30|0.10|1966.70|847.80|847.80||518.30
Kadambari Steel Wire Rope Pvt. Ltd.|31-03-2022|56.80|0.90|56.50|31.20|31.20||56.70
Kadambini Commercial Ltd.|31-03-2022|0.50||0.20|17.90|17.90||
Kadambini Mercantile Ltd.|31-03-2022|1.30||1.10|27.60|27.60||1.20
Kadambini Udyog Ltd.|31-03-2022|3.30||2.50|56.80|56.80||
Kader Exports Pvt. Ltd.|31-03-2022|15607.10|-387.80|14933.40|6629.00|6629.00||15591.30
Kader Investment & Trdg. Co. Pvt. Ltd. [Merged]|31-03-2019|2784.00|-12.80|2714.00|957.40|957.40||2513.00
Kadevi Industries Ltd.|31-03-2014|2470.80|355.60|2803.40|3505.80|3505.80||2455.30
Kadimi Special Steels Pvt. Ltd.|31-03-2020|788.60|-8.80|746.50|882.70|882.70||782.90
Kadri Mills (C B E) Pvt. Ltd.|31-03-2023|2513.80|100.50|2613.90|1094.30|1094.30||2509.10
Kadri Wovens Ltd.|31-03-2020|0.60||0.60|4.20|4.20||0.60
Kadur Industries Ltd.|31-03-2008|1.10||2.80|32.20|32.20||1.10
Kadvani Forge Ltd.|31-03-2021|54.60|16.10|64.90|227.80|227.80||46.50
Kaefer Pvt. Ltd.|31-03-2021|15.00||4.20|207.40|207.40||
Kaeser Compressors India Pvt. Ltd.|31-03-2022|6494.70|95.10|6417.00|3467.90|3467.90||6351.50
Kafila Forge Pvt. Ltd.|31-03-2022|1228.10|-60.80|1164.00|1106.60|1106.60||1223.00
Kagal Ispat Inds. Pvt. Ltd.|31-03-2014|287.50||287.00|7.90|7.90||
Kagaz Finlease Ltd.|31-03-2011|0.40||0.40|13.50|13.50||0.10
Kagome Foods India Pvt. Ltd.|31-03-2022|127.70|16.70|214.60|634.40|634.40||125.10
Kahan Packaging Ltd.|31-03-2021|143.00|2.20|143.50|94.20|94.20||142.90
Kai Kai Metal Pvt. Ltd.|31-03-2012|69.80|-10.30|58.60|30.90|30.90||69.80
Kailas Rubber Co. Ltd.|31-03-2022|72.80|0.40|64.80|346.80|346.80||61.00
Kailasa Entertainment Pvt. Ltd.|31-03-2022|175.10||150.40|165.20|165.20||174.00
Kailash Auto Finance Ltd.|31-03-2019|9.50||8.90|623.70|623.70|7|
Kailash Dwellers Pvt. Ltd.|31-03-2022|2.50|0.00|2.40|69.40|69.40||2.50
Kailash Health Care Ltd.|31-03-2022|4459.30||4136.20|3396.10|3396.10||4408.40
Kailash Hospitals Ltd.|31-03-2022|1108.10||963.50|689.60|689.60||1100.80
Kailash Housing Ltd.|31-03-2012|14.70||14.00|19.90|19.90||14.60
Kailash Marble Industries Pvt. Ltd.|31-03-2022|258.10|2.80|264.10|555.00|555.00||257.10
Kailash Pomona Inds. Ltd.|31-03-2011|98.00||97.60|175.70|175.70||97.90
Kailash Rice & General Mills Pvt. Ltd.|31-03-2021|310.90|-5.10|305.80|187.80|187.80||310.00
Kailash Structurals Ltd.|31-03-2007|||2.30|63.40|63.40||
Kailash Vahn Pvt. Ltd.|31-03-2022|3543.30|61.70|3532.00|1674.90|1674.90||3534.40
Kailashpati Polyplast Pvt. Ltd.|31-03-2022|6725.70|279.00|6973.30|1225.80|1225.80||6723.60
Kaira Can Co. Ltd.|31-03-2023|2546.70|-47.70|2418.60|1140.90|1140.90|200|2539.40
Kaira District Co-Op. Milk Producers' Union Ltd.|31-03-2019|69821.30|275.90|69832.00|23589.40|23589.40||69673.70
Kairali Finance & Invsts. Pvt. Ltd.|31-03-2007|0.90||0.50|5.40|5.40||
Kairav Chemicals Ltd.|31-03-2022|207.90||54.60|28170.80|28170.80||19.90
Kairos Property Managers Pvt. Ltd.|31-03-2022|692.40||2528.70|16746.40|16746.40||244.00
Kaiser Corporation Ltd.|31-03-2023|6.10||5.70|48.50|48.50||5.60
Kaiser Industries Ltd.|31-03-2022|75.10|4.80|79.20|253.20|253.20||64.70
Kaissan Plasto Ltd.|31-03-2012||||8.10|8.10||
Kaithal Solvent Pvt. Ltd.|31-03-2022|3447.30|50.00|3476.60|692.90|692.90||3429.70
Kaithal Tollway Ltd.|31-03-2023|1492.30||2341.00|20257.10|20257.10||1485.10
Kaizen Agro Infrabuild Ltd.|31-03-2023|222.60|0.40|219.10|811.30|811.30|8|222.10
Kaizen Autocars Pvt. Ltd.|31-03-2022|503.50|-18.40|467.30|114.20|114.20||491.70
Kaizen Financial & Security Pvt. Ltd.|31-03-2022|1.00||0.90|1.00|1.00||
Kaizen Hotels & Resorts Ltd.|31-03-2022|115.20||100.20|233.40|233.40||102.40
Kaizen Power Ltd.|31-03-2012|2.50||2.20|4375.40|4375.40||
Kaizen Venture Capital Pvt. Ltd.|31-03-2020||||2.50|2.50||
Kajal (India) Ltd. [Merged]|31-03-2007|3.10||0.10|14.10|14.10||
Kajal Synthetics & Silk Mills Ltd.|31-03-2022|6.00||41.70|587.30|587.30|1|
Kajal Trading Ltd.|31-03-2010|0.10||0.10|3.00|3.00||
Kajaria Bathware Pvt. Ltd.|31-03-2022|1852.50|70.80|1822.60|1431.50|1431.50||1850.50
Kajaria Ceramics Ltd.|31-03-2023|41843.40|796.70|39196.20|29755.20|29755.20|7354|41331.60
Kajaria Infinity Pvt. Ltd.|31-03-2022|1635.20|94.80|1759.80|1453.20|1453.20||1632.80
Kajaria Infrastructure Pvt. Ltd.|31-03-2011|0.20|0.00|0.20|142.10|142.10||0.20
Kajaria Plus Pvt. Ltd.|31-03-2022|0.10||0.20|24.60|24.60||
Kajaria Sanitaryware Pvt. Ltd.|31-03-2023|1343.80|24.10|1316.00|868.30|868.30||1338.90
Kajaria Vitrified Pvt. Ltd.|31-03-2022|2333.10|170.10|2373.70|2646.70|2646.70||2330.90
Kajaria Yarns & Twines Ltd.|31-03-2022|0.20||1.10|11.00|11.00||0.10
Kajiva Construction Co. Pvt. Ltd.|31-03-2008|39.70|17.00|56.20|86.70|86.70||39.70
Kaka Industries Ltd.|31-03-2021|937.80|-0.30|906.30|356.90|356.90||937.10
Kakan Rice Mill Pvt. Ltd.|31-03-2022|197.50|-63.50|145.80|128.60|128.60||197.30
Kakati Aquatech Pvt. Ltd.|31-03-2012|3.50|0.30|3.90|6.20|6.20||3.00
Kakatiya Cement Sugar & Inds. Ltd.|31-03-2023|1756.80|113.50|1914.90|3582.90|3582.90|495|1541.40
Kakatiya Industries Pvt. Ltd.|31-03-2012|32.10|0.30|32.10|98.60|98.60||31.90
Kakatiya Securities Ltd.|31-03-1998||||0.60|0.60||
Kakatiya Textiles Ltd.|31-03-2023|82.30|-14.20|62.50|222.50|222.50|99|74.70
Kakinada Cements Ltd.|30-09-2015|||0.30|0.00|||
Kakinada Fertilizer Ltd.|31-03-2014||||1.00|1.00||
Kakinada Gateway Port Ltd.|31-03-2022|||1.80|9802.40|9802.40||
Kakinada Infrastructure Holdings Pvt. Ltd.|31-03-2022|487.30||167.40|4422.40|4422.40||
Kakinada Power Pvt. Ltd.|31-03-2010||||1.50|1.50||
Kakinada S E Z Ltd.|31-03-2022|2922.20||2433.60|23814.10|23814.10||2748.00
Kakinada Seaports Ltd.|31-03-2023|6708.20||4287.90|21216.20|21216.20||5679.70
Kal Comm Pvt. Ltd.|31-03-2022|24.50||9.30|2530.90|2530.90||19.10
Kal Radio Ltd.|31-03-2022|920.20||861.90|4567.10|4567.10||799.90
Kala Niketan Pvt. Ltd.|31-03-2011|0.20||0.20|1.40|1.40||
Kalabakan Investments Co. Ltd. [Merged]|31-03-2010|0.20|||8.90|8.90||
Kalai Power Pvt. Ltd.|31-03-2022|0.10||469.50|2156.40|2156.40||
Kalaimagal Mutual Benefit Fund Nidhi Ltd.|31-03-2022|7.60||7.10|59.40|59.40||
Kalaimagal Traders Pvt. Ltd.|31-03-2021|14.10|0.20|14.30|3.60|3.60||14.10
Kalaivani Benefit Fund Ltd.|31-03-2005|0.10||0.10|0.40|0.40||
Kalakriti Engineers India Ltd.|31-03-2010|40.00||39.70|120.70|120.70||15.80
Kalakruti Real Estates Pvt. Ltd.|31-03-2022||||0.00|||
Kalamandir Jewellers Ltd.|31-03-2022|16970.40|783.60|17307.30|4456.10|4456.10||16963.50
Kalamboli Steels Ltd.|31-03-2004||||0.50|0.50||
Kalameshvar Textile Mills Ltd.|31-03-2022|13.10||12.40|62.50|62.50||
Kalamkari Designs Pvt. Ltd.|31-03-2022|57.30||33.00|464.20|464.20||16.00
Kalanikethan Silks Ltd.|31-03-2023|1417.90|-540.60|891.40|459.10|459.10||1379.00
Kalapi Flexible Containers Pvt. Ltd.|31-03-1993||1.10|1.10|1.10|1.10||
Kalasa Tea & Produce Co. Ltd. [Merged]|31-03-2000|45.30|-2.00|39.30|84.40|84.40||36.10
Kalash Seeds Pvt. Ltd.|31-03-2022|2167.00||1797.90|2661.60|2661.60||2106.00
Kalatmak Credit Commercial Ltd.|31-03-2011||||28.00|28.00||
Kalavati Finance Ltd.|31-03-2022|0.90||2.00|8.30|8.30||
Kalburgi Cement Pvt. Ltd.|31-12-2022|15748.70|304.50|15460.80|30161.80|30161.80||15420.20
Kale Brayan Mfg. India Pvt. Ltd.|31-03-2022|46.60|-6.70|44.20|47.20|47.20||46.50
Kale Infra Projects Pvt. Ltd.|31-03-2012|7.70||7.60|9.30|9.30||
Kale Logistics Solutions Pvt. Ltd.|31-03-2022|686.30||624.80|655.70|655.70||510.90
Kaleesuwari Refinery & Industry Pvt. Ltd.|31-03-2022|912.40|83.90|957.20|1962.00|1962.00||905.00
Kaleesuwari Refinery Pvt. Ltd.|31-03-2022|54592.70|840.40|52708.80|16395.20|16395.20||54249.90
Kalelker Surgicals Pvt. Ltd.|31-03-2022|44.30|-0.40|28.20|27.10|27.10||43.20
Kaleshwaram Irrigation Project Corpn. Ltd.|31-03-2017|||8.40|5469.90|5469.90||
Kalgov Labs Ltd.|31-03-2022|597.40|11.70|598.60|253.80|253.80||594.40
Kali Aerated Water Works Pvt. Ltd.|31-03-2022|1609.20|-4.70|1635.40|493.90|493.90||1596.80
Kalika Press Pvt. Ltd.|31-03-2022|34.90||32.50|48.30|48.30||34.90
Kalika Steel Alloys Pvt. Ltd.|31-03-2022|12013.00|109.80|11839.10|5930.70|5930.70||12010.20
Kalimati Investment Co. Ltd. [Merged]|31-03-2013|9951.30||1933.50|13676.50|13676.50||1.00
Kalindee Investments Pvt. Ltd.|31-03-2014||||121.60|121.60||
Kalindee Rail Nirman (Engineers) Ltd. [Merged]|31-03-2016|4317.70|11.50|4320.60|5477.40|5477.40|557|3722.70
Kalindi Agro Biotech Ltd.|31-03-2011|7.90|2.00|11.20|87.70|87.70||7.80
Kalindi Steels & Engg. Works Ltd.|31-03-2005|1.00|0.20|1.40|3.90|3.90||0.70
Kalinga Aquatic Ltd.|31-03-2012|||0.20|4.80|4.80||
Kalinga Buildtech Pvt. Ltd.|31-03-2022||||47.70|47.70||
Kalinga Cement Ltd.|31-03-2002|0.20|0.00|0.20|160.00|160.00||
Kalinga Coal Mining Pvt. Ltd.|31-03-2010|0.00||0.30|822.10|822.10||
Kalinga Commercial Corpn. Ltd.|31-03-2022|13611.90||12468.40|8334.50|8334.50||13533.80
Kalinga Green Velleys Pvt. Ltd.|31-03-2011|10.10|-2.40|7.70|19.10|19.10||9.90
Kalinga Hospital Ltd.|31-03-2022|845.90||805.80|862.30|862.30||830.30
Kalinga Meadows Ltd. [Merged]|31-03-2006|||0.10|120.20|120.20||
Kalinga Media & Entertainment Pvt. Ltd.|31-03-2022|178.40||176.80|418.20|418.20||155.30
Kalinga Metalics Ltd.|31-03-2022|1119.90|-0.30|1094.90|1779.10|1779.10||1109.50
Kalinga Plant Devp. Ltd.|31-03-2002|0.10||0.10|0.30|0.30||0.10
Kalinga Realtors Ltd.|31-03-2022|0.40||1.20|9.00|9.00||
Kalinga Studios Ltd.|31-03-2011|0.80||3.00|5.60|5.60||0.80
Kalinganagar Chrome Pvt. Ltd.|31-03-2022||||0.50|0.50||
Kalinganagar Special Steel Pvt. Ltd.|31-03-2022||||0.60|0.60||
Kalis Sparkling Water Pvt. Ltd.|31-03-2022|847.50|-0.70|943.30|928.00|928.00||843.90
Kalka Restaurants Ltd.|31-03-2022|13.10||3.70|166.10|166.10||2.50
Kalki Communication Technologies Pvt. Ltd.|31-03-2022|486.40|5.80|446.30|796.70|796.70||472.50
Kalki Spinning Mills Ltd.|31-03-2011||||0.00|||
Kalkulam Benefit Fund Ltd.|31-03-2011|0.60||0.60|10.40|10.40||
Kallakal Foundary Casting Products Pvt. Ltd.|31-03-2022|714.80|37.20|757.50|341.50|341.50||713.90
Kallam Textiles Ltd.|31-03-2023|4141.80|185.30|4540.00|6198.50|6198.50|580|4128.60
Kalliyath Developers Pvt. Ltd.|31-03-2022|6980.80|73.20|7008.10|901.90|901.90||6979.70
Kallol Commercial Co. Ltd.|31-03-2002|3.10||3.80|60.30|60.30||
Kalp Multipack Pvt. Ltd.|31-03-2022|42.40|4.00|46.40|29.50|29.50||42.40
Kalpa Commercial Ltd.|31-03-2022|125.70||173.60|518.30|518.30|0|122.60
Kalpaka Chemicals Pvt. Ltd.|31-03-2022|2367.30|19.40|2275.40|1233.10|1233.10||2270.60
Kalpana Chemicals Pvt. Ltd.|31-03-2022|115.60|2.00|110.00|120.20|120.20||114.80
Kalpana Forgings India Pvt. Ltd.|31-03-2022|531.00|-6.10|525.70|934.40|934.40||518.10
Kalpana Lifespaces Ltd.|31-03-2022||2.00|2.00|2.70|2.70||
Kalpana Natural Forest Products Pvt. Ltd.|31-03-2015|50.70|-4.40|45.40|406.60|406.60||45.90
Kalpataru Constructions (Poona) Pvt. Ltd.|31-03-2022|0.80||1.50|551.70|551.70||
Kalpataru Corporate Services Ltd.|31-03-2011||||0.70|0.70||
Kalpataru Engineering Ltd.|31-03-2022|23.00||22.80|470.30|470.30||18.50
Kalpataru Ltd.|31-03-2021|8970.50||8812.90|40256.40|40256.40||6257.60
Kalpataru Marketing Pvt. Ltd.|31-03-2007|0.10|-0.10||24.80|24.80||0.10
Kalpataru Metallic Pvt. Ltd.|31-03-2016|4.10||2.70|223.50|223.50||
Kalpataru Metfab Pvt. Ltd.|31-03-2023|2.40||3.50|144.40|144.40||0.90
Kalpataru Multiplier Ltd.|31-03-2022|69.30||50.10|454.10|454.10||1.00
Kalpataru Projects Intl. Ltd.|31-03-2023|145813.60|134.50|140628.60|182099.70|182099.70|22886|143446.80
Kalpataruvu Spinning Mills Pvt. Ltd.|31-03-2022|1512.70|47.10|1540.70|1288.40|1288.40||1505.50
Kalpatharu Breweries & Distilleries Pvt. Ltd.|31-03-2022|2197.80|13.10|2198.20|408.60|408.60||2197.00
Kalpavriksha Industries Ltd.|31-03-2002|2.40||2.40|18.90|18.90||0.60
Kalpavruksh Systems Pvt. Ltd.|31-03-2022|92.20||99.20|127.10|127.10||92.10
Kalpetta Estates Ltd.|31-03-2004|272.50|8.80|291.60|64.90|64.90||270.40
Kalptaru Apparels Ltd.|31-03-2004|26.60|3.20|29.80|34.80|34.80||26.60
Kalptaru Fincap Ltd.|31-03-2011|0.60||0.30|10.30|10.30||
Kalptaru Papers Ltd.|31-03-2023|0.30||6.90|69.70|69.70||
Kalptru Realty Pvt. Ltd.|31-03-2022|||0.70|77.60|77.60||
Kals Distilleries Pvt. Ltd.|31-03-2022|16430.10|134.20|16117.10|5889.90|5889.90||16369.10
Kals Information Systems Pvt. Ltd.|31-03-2022|12.60||12.10|33.20|33.20||12.20
Kaltha Developers Ltd.|31-03-2021||||1.10|1.10||
Kalupur Commercial Co-Op. Bank Ltd.|31-03-2004|1362.90||951.10|14450.00|14450.00||
Kalva Engineers Pvt. Ltd.|31-03-2019|26.40|6.80|33.10|96.10|96.10||25.90
Kalva Marketing & Services Ltd.|31-03-2022|18.60||3.90|391.70|391.70||
Kalwa Steel Processors Ltd.|31-03-2020|7.50||7.50|9.30|9.30||7.40
Kalwa Steel Processors Pvt. Ltd.|31-03-2022|1.20|-0.10|0.90|10.10|10.10||1.10
Kalyan Capitals Ltd.|31-03-2023|151.50||134.70|1172.10|1172.10|5|
Kalyan Energy Ltd. [Merged]|31-03-2009|0.10||1.40|11.90|11.90||
Kalyan Extraction Pvt. Ltd.|31-03-2012|1.50||1.50|16.10|16.10||
Kalyan Janata Sahakari Bank Ltd.|31-03-2022|2883.10||2607.90|36362.60|36362.60|491|
Kalyan Jewellers India Ltd.|31-03-2023|122307.30|10446.10|128855.30|96525.20|96525.20|9478|121546.50
Kalyan Sangam Infratech Ltd.|31-03-2022|||137.90|4950.30|4950.30||
Kalyan Silks Trichur Pvt. Ltd.|31-03-2022|10163.10|405.00|10087.80|6860.30|6860.30||10009.40
Kalyan Solvent Extraction Ltd.|31-03-1992|280.10|20.10|311.10|136.70|136.70||277.00
Kalyan Toll Infrastructure Ltd.|31-03-2022|11249.10|-67.10|10112.20|19232.30|19232.30||11030.20
Kalyanang Developers Pvt. Ltd.|31-03-2009|||0.10|15.10|15.10||
Kalyani Agro Corpn. Ltd.|31-03-2012||||2.40|2.40||
Kalyani Alloy Castings Ltd.|31-03-2011|151.50|25.00|176.00|152.60|152.60||150.20
Kalyani Alstom Power Ltd. [Merged]|31-03-2014|6.00||38.00|1163.20|1163.20||
Kalyani Breweries Ltd. [Merged]|31-03-1993|275.90|-2.00|270.50|206.10|206.10||238.30
Kalyani Cast-Tech Ltd.|31-03-2022|494.70|-37.40|444.30|160.60|160.60||494.50
Kalyani Commercials Ltd.|31-03-2023|3322.30|-48.50|3242.30|651.60|651.60|178|3302.30
Kalyani Engineering & Constructions Ltd.|31-03-2011||||0.80|0.80||
Kalyani Ferrous Inds. Ltd. [Merged]|31-03-2003|2260.60|23.30|2338.20|1818.80|1818.80||2244.60
Kalyani Financial Services Ltd.|31-03-2022|0.10||0.80|1615.30|1615.30||
Kalyani Forge Ltd.|31-03-2023|2736.70|86.70|2787.30|2058.30|2058.30|780|2666.80
Kalyani Global Engg. Pvt. Ltd.|31-03-2022|16.20||29.00|18955.60|18955.60||15.40
Kalyani Habitat Ltd.|31-03-2011||||0.80|0.80||
Kalyani Highway Developers Ltd.|31-03-2011||||0.80|0.80||
Kalyani Holdings & Finance Ltd.|31-03-2022|0.80||0.50|39.60|39.60||
Kalyani Infrastructure Projects Ltd.|31-03-2011||||8.80|8.80||
Kalyani Investment Co. Ltd.|31-03-2023|600.40||174.60|57875.20|57875.20|2|
Kalyani Maxion Wheels Pvt. Ltd.|31-12-2022|10201.20|-238.90|9663.10|5400.50|5400.50||10103.70
Kalyani Motors Pvt. Ltd.|31-03-2022|12096.30|-25.70|11942.60|2715.80|2715.80||11512.60
Kalyani Mukand Ltd.|31-03-2011||||94.50|94.50||
Kalyani Rafael Advanced Systems Pvt. Ltd.|31-03-2022|760.40|6.10|765.70|895.60|895.60||751.00
Kalyani Refineries Ltd.|31-03-2006|||7.00|108.80|108.80||
Kalyani Renewable Energy India Ltd.|31-03-2011||||301.90|301.90||
Kalyani School Alumni Association|31-03-2022|0.10||0.10|0.40|0.40||
Kalyani Spinning Mills Ltd.|31-03-2009|290.90|-16.40|691.70|132.20|132.20||288.70
Kalyani Steels Ltd.|31-03-2023|19568.80|25.10|17923.60|23565.70|23565.70|271|18992.90
Kalyani Strategic Mgmt. Services Ltd.|31-03-2022|477.00|-1.10|356.20|840.50|840.50||464.10
Kalyani Strategic Systems Ltd.|31-03-2022|60.70||76.60|481.00|481.00||57.80
Kalyani Technoforge Ltd.|31-03-2022|14755.70|486.90|13995.10|17944.30|17944.30||14435.20
Kalyani Thermal Processing Pvt. Ltd. [Merged]|31-03-2015|142.00||164.70|352.10|352.10||139.70
Kalyani Utilities Devp. Ltd. [Merged]|31-03-2009|65.30||4.50|1377.50|1377.50||
Kalzip India Pvt. Ltd.|31-03-2022|603.20|9.90|605.00|431.70|431.70||592.90
Kama Holdings Ltd.|31-03-2023|2547.10||62.50|6590.60|6590.60|3|
Kama Jewellery (India) Trdg. Co. Pvt. Ltd. [Merged]|31-03-2010|55.60|-31.00|24.00|4.40|4.40||53.70
Kama Jewelry Pvt. Ltd.|31-03-2022|6341.60|212.10|6488.60|4421.30|4421.30||6333.20
Kama Proto-Pack Pvt. Ltd.|31-03-2021|8.00|-0.70|8.60|17.90|17.90||7.90
Kama Realty (Delhi) Ltd.|31-03-2023|86.20||25.60|922.30|922.30||72.30
Kamachi Industries Ltd.|31-03-2018|12761.40|283.80|14305.40|12351.70|12351.70||12731.20
Kamachi Steels Pvt. Ltd.|31-03-2022|2674.50|0.30|2707.50|995.60|995.60||2663.30
Kamadgiri Fashion Ltd.|31-03-2023|2828.90|-43.90|2770.20|1574.30|1574.30|1583|2808.90
Kamadgiri Industries Ltd.|31-03-2022||||10.70|10.70||
Kamadhenu Foodtech Pvt. Ltd.|31-03-2015|||0.20|0.70|0.70||
Kamadhenu Sukrit Pvt. Ltd.|31-03-2022|7.40||8.40|148.50|148.50||7.40
Kamadhenu Tele Films Pvt. Ltd.|31-03-2022|135.00|0.60|136.50|180.70|180.70||134.90
Kamakhaya Enterprises Ltd. [Merged]|31-03-2014|0.60||0.30|11.80|11.80||
