Company Name|Year|Total income|Change in stock|Total expenses|Total liabilities|Total assets|No. of employees|Sales
A B Infrabuild Ltd.|31-03-2023|1258.70|68.70|1252.00|1267.00|1267.00|30|1230.90
A B J A Power Pvt. Ltd.|31-03-2023|3942.00|-76.60|3827.20|618.90|618.90||3941.80
A B Jewels Pvt. Ltd.|31-03-2022|13049.70|73.10|12773.30|3133.40|3133.40||12827.80
A B L Biotechnologies Ltd.|31-03-2016|0.10||1.50|443.50|443.50||0.10
A B L Research Pvt. Ltd.|31-03-2012||||1.50|1.50||
A B Leasing & Finance Ltd.|31-03-2022|47.20||85.20|345.00|345.00||
A B M International Ltd.|31-03-2023|864.20|121.90|1053.00|313.50|313.50|8|856.70
A B M Knowledgeware Ltd.|31-03-2023|828.30||699.50|2459.10|2459.10|422|779.00
A B M Securities Ltd. [Merged]|31-03-2010|29.80||26.10|82.40|82.40||
A B M Tele Mobiles India Pvt. Ltd.|31-03-2022|10334.40|110.80|10412.20|2381.90|2381.90||10256.60
A B Mauri India Pvt. Ltd.|31-03-2022|5545.20|198.30|5668.00|5954.50|5954.50||5492.50
A B Medical Centres Ltd.|31-03-2023|9.40||44.60|55.40|55.40||9.20
A B Metal Mining Co. Pvt. Ltd.|31-03-2011|||0.10|2.60|2.60||
A B Motions Pvt. Ltd.|31-03-2021|83.70||484.50|838.60|838.60||79.20
A B N Granites Ltd.|30-06-2010|||82.50|143.30|143.30||
A B N Impex Pvt. Ltd.|31-03-2022|2311.60|43.70|2333.80|387.00|387.00||2302.70
A B N Intercorp Ltd.|31-03-2022|1.60||2.20|100.50|100.50|3|1.60
A B N L Investment Ltd.|31-03-2023|51.90||117.50|662.60|662.60||45.60
A B N L It & I T E S Ltd. [Merged]|31-03-2015|110.90||407.40|4272.60|4272.60||
A B Optique Eye Ear & Speech Pvt. Ltd.|31-03-2022|19.00|-1.50|18.50|71.00|71.00||18.90
A B P G M Mining Co. Pvt. Ltd.|31-03-2011||||0.10|0.10||
A B P Network Pvt. Ltd.|31-03-2022|6615.30||6293.10|5512.00|5512.00||6451.60
A B P Pvt. Ltd.|31-03-2022|4686.80||4433.90|8584.30|8584.30||4373.20
A B P Realty Advisors Pvt. Ltd.|31-03-2018||||0.20|0.20||
A B P Tv Pvt. Ltd. [Merged]|31-03-2015|0.70||0.80|2360.90|2360.90||0.50
A B Sea Container Pvt. Ltd.|31-03-2022|91.30|1.60|92.00|71.80|71.80||79.30
A B Studios Pvt. Ltd.|31-03-2022|86.50||74.90|38.10|38.10||86.50
A B Sugars Ltd.|31-03-2019|4074.80|412.20|4108.10|6033.80|6033.80||3957.10
A B T (Madras) Pvt. Ltd.|31-03-2019|4.90||79.90|10476.80|10476.80||4.90
A B T (Madurai) Pvt. Ltd.|31-03-2020||||0.00|||
A B T Finance Ltd.|31-03-2010|1.40||1.40|15.90|15.90||
A B T Foods Agrovet Ltd.|31-03-2021|74.50|-0.20|73.20|484.70|484.70||32.10
A B T Foods Ltd.|31-03-2010|||0.80|104.70|104.70||
A B T Foods Retailing (India) Ltd.|31-03-2011|28.40|-0.20|29.60|7.80|7.80||28.40
A B T Foundation Ltd.|31-03-2010|||1.30|28.20|28.20||
A B T Industries Ltd.|31-03-2022|6262.20|-3.70|6246.60|3296.10|3296.10||6175.80
A B T Investments (India) Pvt. Ltd.|31-03-2009||||2.00|2.00||
A B T Ltd.|31-03-2022|8668.20|30.20|8426.90|9987.60|9987.60||8115.60
A B W Infrastructure Ltd.|31-03-2015|150.00||151.80|11784.50|11784.50||145.00
A C B (India) Ltd.|31-03-2022|14969.40||19352.90|56073.40|56073.40||13737.30
A C B (India) Power Ltd.|31-03-2022|503.80||7132.50|7616.10|7616.10||359.60
A C C Concrete Ltd. [Merged]|31-12-2011|6945.40||7196.80|2445.10|2445.10||6923.90
A C C India Pvt. Ltd.|31-03-2022|3446.40||3380.60|2420.90|2420.90||3442.00
A C C Ltd.|31-03-2023|225471.50|1931.90|218704.30|207173.20|207173.20|5466|221976.50
A C C Mineral Resources Ltd.|31-03-2023|66.70||26.40|1479.30|1479.30||
A C C-Nihon Castings Ltd. [Merged]|31-03-2008|757.50|-16.90|708.40|427.10|427.10||661.20
A C E Bpo Services Pvt. Ltd.|31-03-2016|26.60||26.80|25.50|25.50||26.60
A C E Designers Ltd.|31-03-2022|9878.50|257.10|9930.20|6929.80|6929.80||9720.90
A C E Edutrend Ltd.|31-03-2023|||2.00|129.90|129.90||
A C E Exports Ltd.|31-03-2023|79.20|-14.10|64.80|69.50|69.50||79.10
A C E Glass Containers Ltd. [Merged]|31-03-2005|2229.60|32.50|2026.90|3057.00|3057.00||2129.50
A C E Laboratories Ltd.|30-06-1998|1332.90|-40.90|1174.20|1242.60|1242.60||1331.40
A C E Manufacturing Systems Ltd.|31-03-2023|8858.60|94.30|8377.20|6803.80|6803.80||8776.60
A C E Mouldings Ltd.|31-03-2022|187.00|1.20|183.60|178.40|178.40||187.00
A C E Shelters Pvt. Ltd.|31-03-2010||||0.40|0.40||
A C E Stonecraft Ltd.|31-03-2022|10.40||8.00|254.90|254.90||
A C E Tours Worldwide Ltd.|31-03-2015|150.50||148.40|255.00|255.00||148.60
A C G Arts & Properties Pvt. Ltd.|31-03-2022|58.80|672.80|680.70|1172.20|1172.20||9.30
A C G Associated Capsules Pvt. Ltd.|31-03-2022|20391.50|115.20|16134.10|35274.00|35274.00||18354.50
A C G Inspection Systems Pvt. Ltd.|31-03-2022|789.40|-6.00|716.80|657.30|657.30||742.70
A C G Metalcrafts Pvt. Ltd.|31-03-2018|865.00|-6.80|877.30|1575.10|1575.10||829.80
A C G Pam Pharma Technologies Pvt. Ltd.|31-03-2022|5702.30|41.20|5222.40|7809.80|7809.80||5352.00
A C G Pampac Machines Pvt. Ltd.|31-03-2018|1838.10|58.10|1723.00|2164.50|2164.50||1728.60
A C G Pharmapack Pvt. Ltd.|31-03-2022|7898.80|20.10|7606.40|5580.80|5580.80||7746.40
A C G Real Estate Pvt. Ltd.|31-03-2012||113.20|113.20|540.40|540.40||
A C I (Agro Chemical Inds.) Ltd.|31-03-2000|62.20|-2.80|64.10|27.20|27.20||62.10
A C I Infocom Ltd.|31-03-2023|5.20|0.00|4.20|172.00|172.00|7|
A C I L Ltd.|31-03-2019|1097.90|-58.00|12037.90|4275.70|4275.70||1096.60
A C Infrastructure & Devp. Pvt. Ltd.|31-03-2010||||0.00|||
A C K Capital Mgmt. Pvt. Ltd.|31-03-2022|75.00||21.10|205.60|205.60||
A C K Media Direct Ltd.|31-03-2022|55.60|-0.10|54.00|18.90|18.90||55.30
A C L Components Ltd. [Merged]|31-03-2022|0.30||0.10|6.30|6.30||
A C L Industries Ltd.|30-09-2009|87.30||98.60|265.40|265.40||85.20
A C L Mobile Pvt. Ltd.|31-03-2022|8434.30||8198.10|4541.90|4541.90||8368.80
A C M L Capital Markets Ltd.|31-03-2022|105.90||69.00|1708.00|1708.00||
A C M Shipping India Ltd.|31-03-2011|23.30||23.00|28.90|28.90||23.20
A C N Cable Pvt. Ltd.|31-03-2022|1208.10||1025.80|1624.10|1624.10||1171.30
A C N Financial Services Ltd.|31-03-2011|5.80||3.60|75.90|75.90||
A C Nielsen Mktg. Research India Pvt. Ltd. [Merged]|31-03-2011|||0.10|125.60|125.60||
A C Nielsen Research Services Pvt. Ltd. [Merged]|31-03-2011|648.30||581.30|740.80|740.80||606.40
A C P Industries Ltd.|31-03-2022|2484.00|5.20|2462.00|980.00|980.00||2471.60
A C P Tollways Pvt. Ltd.|31-03-2022|2087.40||1920.10|13676.60|13676.60||2070.80
A C R Machining Pvt. Ltd.|31-03-2019|539.70|-0.60|493.40|262.60|262.60||538.10
A C S Technologies Ltd.|31-03-2017|31.80||33.50|1932.10|1932.10|2|
A C S Technologies Ltd. [Merged]|31-03-2022|667.90|-28.20|628.30|533.60|533.60||667.60
A C T Fininvest Ltd.|31-03-2021|69.30||165.80|3911.60|3911.60||
A C T India Ltd. [Merged]|31-03-1995|1002.80|4.10|969.00|399.20|399.20||998.60
A D A Software & Services Pvt. Ltd.|31-03-2012||||0.60|0.60||
A D Advertising Pvt. Ltd.|31-03-2017|258.60||258.10|1532.20|1532.20||129.60
A D C C Infracon Pvt. Ltd.|31-03-2022|9.80||10.10|313.30|313.30||7.30
A D C India Communications Ltd.|31-03-2023|1440.10|68.30|1426.70|939.10|939.10|22|1429.00
A D C L Drugs & Chemicals Ltd.|31-03-2008||||2.70|2.70||
A D Electro-Steel Co. Pvt. Ltd.|31-03-2022|570.80|-27.20|542.00|384.30|384.30||569.80
A D F Foods (India) Ltd.|31-03-2023|8.70||9.30|8.10|8.10||8.60
A D F Foods Ltd.|31-03-2023|3654.30|4.80|3059.00|5626.10|5626.10|1212|3533.80
A D Hydro Power Ltd.|31-03-2022|2612.80||1629.80|13115.50|13115.50||2572.00
A D L Agrotech Ltd.|31-03-2022|15.80||16.40|46.00|46.00||15.80
A D M Agro Inds. Dharwad Pvt. Ltd. [Merged]|31-03-2008|3185.90|79.90|3210.60|1264.50|1264.50||3169.60
A D M Agro Inds. India Pvt. Ltd.|31-03-2022|13190.50|-71.20|13278.00|3308.70|3308.70||13104.80
A D M Agro Inds. Kota & Akola Pvt. Ltd.|31-03-2022|45355.00|4506.70|48278.00|8597.90|8597.90||45209.40
A D M Agro Inds. Latur & Vizag Pvt. Ltd.|31-03-2022|19678.00|575.40|20285.80|3487.80|3487.80||19398.80
A D M E C Logistics Ltd.|31-03-2010|364.80||373.60|270.90|270.90||364.20
A D M G Diamond Pvt. Ltd.|31-03-2022||||4.90|4.90||
A D M Joinflex India Pvt. Ltd.|31-03-2022|2303.70|18.90|2113.60|1481.00|1481.00||2270.50
A D P Pvt. Ltd.|31-03-2015|9993.20||7715.20|5780.40|5780.40||7424.60
A D P Pvt. Ltd. (2015)|31-03-2022|19301.20||17440.50|19405.70|19405.70||18955.90
A D R C Health Care Ltd.|31-03-2015|0.20||0.20|0.40|0.40||0.20
A D S Diagnostic Ltd.|31-03-2023|138.10|-2.30|131.70|120.80|120.80|22|132.90
A D S Spirits Pvt. Ltd.|31-03-2022|9274.70|-28.30|8465.40|5005.90|5005.90||9263.00
A E C (India) Ltd.|31-03-2003|0.50|0.00|19.00|475.50|475.50||0.50
A E C C N C Pvt. Ltd.|31-03-2022|0.60|-1.60|3.60|14.50|14.50||0.60
A E C Cements & Constructions Ltd.|31-03-2012|22.00|-2.80|18.40|26.40|26.40||21.80
A E C Enterprises Ltd.|30-06-1998|227.70|-1.00|446.80|709.00|709.00||225.00
A E G India Ltd.|31-12-2007|10.50||33.80|133.00|133.00||
A E M L Investments Ltd.|31-03-2022|392.50||319.40|2944.60|2944.60||261.10
A E S (India) Engg. Ltd.|31-03-2022|149.90||146.70|131.60|131.60||147.60
A E S Laboratories Pvt. Ltd.|31-03-2021|79.50||74.00|105.50|105.50||77.00
A E T Laboratories Pvt. Ltd.|31-03-2022|2274.20|62.50|2040.60|1937.90|1937.90||2207.50
A E Tollway Ltd.|31-03-2023|2222.40||3971.50|31043.60|31043.60||2199.00
A F C India Ltd.|31-03-2023|319.60||318.50|1182.00|1182.00||309.00
A F C O Industrial & Chemicals Ltd.|31-03-2022|||3.80|13.20|13.20||
A F Enterprises Ltd.|31-03-2023|308.60||298.30|1286.20|1286.20|18|241.80
A F L Infotech Ltd. [Merged]|31-03-1997|8.90||7.00|7.20|7.20||8.70
A F L Pvt. Ltd.|31-03-2022|108.70||102.80|586.70|586.70||91.00
A G 8 Ventures Ltd.|31-03-2018|525.20|71.80|671.30|2984.20|2984.20||521.10
A G Conveying Systems Pvt. Ltd.|31-03-2012|129.10||153.20|238.80|238.80||
A G Corporation Pvt. Ltd.|31-03-2019|64.90|7.30|71.90|70.20|70.20||64.90
A G Fats Pvt. Ltd.|31-03-2022|3267.80|76.40|3271.50|1113.20|1113.20||3244.00
A G Foods Ltd.|31-03-2007||||618.10|618.10||
A G Glass Ltd.|31-03-1994|28.30|-20.20|46.80|79.90|79.90||27.40
A G I Cargo Pvt. Ltd.|31-03-2014|37.30||36.80|12.70|12.70||35.70
A G I Glasspack Ltd.|31-03-2022|7.30||12.20|177.30|177.30||7.10
A G I Greenpac Ltd.|31-03-2023|22987.10|145.40|20516.10|31535.20|31535.20|4273|22739.80
A G I Hospitalities Pvt. Ltd.|31-03-2022|23.00||21.40|121.80|121.80||22.90
A G I Infra Ltd.|31-03-2023|2475.20|815.00|2809.00|7592.20|7592.20|260|2447.40
A G Industries (Bawal) Pvt. Ltd.|31-03-2022|1797.80|3.10|1777.50|956.90|956.90||1796.40
A G Industries Pvt. Ltd.|31-03-2022|10127.40|49.30|10104.00|7976.40|7976.40||9982.60
A G Infrastructure Pvt. Ltd.|31-03-2011|50.00|-62.00|2.20|2.70|2.70||50.00
A G L Industries Ltd.|31-03-2023|2.40|0.20|1.30|39.40|39.40||
A G L Polyfil Pvt. Ltd.|31-03-2021|500.00|1.70|521.50|687.80|687.80||497.30
A G Oils Pvt. Ltd.|31-03-2022|||15.50|80.60|80.60||
A G R Investments Ltd.|31-03-2022|0.60||0.70|27.40|27.40||
A G R Steel Strips Pvt. Ltd.|31-03-2022|||455.40|130.40|130.40||
A G Research Pvt. Ltd.|31-03-2018|||37.30|0.20|0.20||
