"","year","state","state_mpce","state_mpce_cphs"
"97",2017,"telangana",2345.1804048829,2563.29938671299
"98",2017,"uttar_pradesh",1623.92600087828,1834.04221866683
"99",2017,"uttarakhand",3011.47127381521,3297.87276015896
"100",2017,"west_bengal",1671.35975996034,1868.12810162358
"101",2018,"andhra_pradesh",2709.01985508433,2952.31521500039
"102",2018,"assam",2513.31529746314,2732.08230123416
"103",2018,"bihar",1452.15638651688,1617.53807312434
"104",2018,"chandigarh",4993.94131165726,5663.56962258704
"105",2018,"chhattisgarh",1849.81376931739,2025.01128657843
"106",2018,"delhi",3536.27323097441,4130.06323770155
"107",2018,"goa",5746.4826675852,6507.21454908591
"108",2018,"gujarat",2312.68185161673,2516.55366522826
"109",2018,"haryana",3110.97746866154,3493.29097623561
